dt,sf0_real,sf0_imag,sf1_real,sf1_imag,expectation
0.1,0.6373523342,0.1276288175,0.4850384655,0.5850047641,1.002290098
0.2,0.6373523342,0.1276288175,0.4850384655,0.5850047641,1.00916039
0.3,0.6373523342,0.1276288175,0.4850384655,0.5850047641,1.020610878
0.4,0.6373523342,0.1276288175,0.4850384655,0.5850047641,1.036641561
0,0.5737470822,0.05553601654,0.6990802697,0.4231037852,1
0.1,0.5737470822,0.05553601654,0.6990802697,0.4231037852,1.00221098
0.2,0.5737470822,0.05553601654,0.6990802697,0.4231037852,1.008843921
0.3,0.5737470822,0.05553601654,0.6990802697,0.4231037852,1.019898823
0.4,0.5737470822,0.05553601654,0.6990802697,0.4231037852,1.035375686
0,0.3596673508,0.6932011563,0.6245847008,0.002346326212,1
0.1,0.3596673508,0.6932011563,0.6245847008,0.002346326212,1.002337852
0.2,0.3596673508,0.6932011563,0.6245847008,0.002346326212,1.009351409
0.3,0.3596673508,0.6932011563,0.6245847008,0.002346326212,1.02104067
0.4,0.3596673508,0.6932011563,0.6245847008,0.002346326212,1.037405636
0,0.1253102599,0.3674434767,0.5183443339,0.7619722972,1
0.1,0.1253102599,0.3674434767,0.5183443339,0.7619722972,1.001793045
0.2,0.1253102599,0.3674434767,0.5183443339,0.7619722972,1.007172179
0.3,0.1253102599,0.3674434767,0.5183443339,0.7619722972,1.016137403
0.4,0.1253102599,0.3674434767,0.5183443339,0.7619722972,1.028688716
0,0.5011638708,0.3454730688,0.5882734583,0.5323696757,1
0.1,0.5011638708,0.3454730688,0.5882734583,0.5323696757,1.002358812
0.2,0.5011638708,0.3454730688,0.5882734583,0.5323696757,1.009435249
0.3,0.5011638708,0.3454730688,0.5882734583,0.5323696757,1.02122931
0.4,0.5011638708,0.3454730688,0.5882734583,0.5323696757,1.037740996
0,0.450734877,0.0531538388,0.8058697139,0.3802456368,1
0.1,0.450734877,0.0531538388,0.8058697139,0.3802456368,1.001943092
0.2,0.450734877,0.0531538388,0.8058697139,0.3802456368,1.007772367
0.3,0.450734877,0.0531538388,0.8058697139,0.3802456368,1.017487826
0.4,0.450734877,0.0531538388,0.8058697139,0.3802456368,1.031089468
0,0.6065783783,0.3816739958,0.5106825344,0.4749641892,1
0.1,0.6065783783,0.3816739958,0.5106825344,0.4749641892,1.002607461
0.2,0.6065783783,0.3816739958,0.5106825344,0.4749641892,1.010429842
